Size,Algorithm,Time(s)
64,Standard,0.07960128784179688
64,Strassen,0.06746315956115723
64,RL_Discovered,0.13979005813598633
128,Standard,0.5992441177368164
128,Strassen,0.4677255153656006
128,RL_Discovered,0.35850095748901367
256,Standard,4.884362697601318
256,Strassen,3.3551125526428223
256,RL_Discovered,1.419438123703003
